marital_status,application_mode,application_order,course,course_time,education_level,previous_grade,nationality,mother_education,father_education,mother_occupation,father_occupation,admission_grade,is_displaced,has_special_needs,is_debtor,is_tuition_paid,gender,is_scholarship_holder,age_at_enrollment,is_international,s1_credited,s1_enrolled,s1_evaluated,s1_approved,s1_grade,s1_not_evaluated,s2_credited,s2_enrolled,s2_evaluated,s2_approved,s2_grade,s2_not_evaluated,unemployment_rate,inflation_rate,gdp,status,avg_grade,avg_grade_bin,avg_admission_grade_bin,unemployment_bin,inflation_bin,gdp_bin
single,2nd phase - general contingent,5,Animation and Multimedia Design,daytime,Secondary,61.0,Portuguese,Basic 3rd cycle (9th-11th),11th-grade,Personal services & sales,Unskilled workers,63.65,1,0,0,1,male,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,0.0,0-20,50-70,Low,Medium,High
single,International student (bachelor),1,Tourism,daytime,Secondary,80.0,Portuguese,Secondary,Higher education (diploma),Technicians & associate professionals,Technicians & associate professionals,71.25,1,0,0,0,male,0,19,0,0,6,6,6,70.0,0,0,6,6,6,68.33333335,0,13.9,-0.3,0.79,Graduate,69.166666675,61-80,70-100,High,Very Low,High
single,1st phase - general contingent,5,Communication Design,daytime,Secondary,61.0,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Unskilled workers,Unskilled workers,62.4,1,0,0,0,male,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,0.0,0-20,50-70,Low,Medium,High
single,2nd phase - general contingent,2,Journalism and Communication,daytime,Secondary,61.0,Portuguese,Basic 2nd cycle (6th-8th),Basic 1st cycle (4th-5th),Personal services & sales,Technicians & associate professionals,59.8,1,0,0,1,female,0,20,0,0,6,8,6,67.14285715,0,0,6,10,5,62.0,0,9.4,-0.8,-3.12,Graduate,64.571428575,61-80,50-70,Low,Very Low,Very Low
married,Over 23 years old,1,Social Service (evening attendance),evening,Secondary,50.0,Portuguese,Basic 1st cycle (4th-5th),Basic 2nd cycle (6th-8th),Unskilled workers,Unskilled workers,70.75,0,0,0,1,female,0,45,0,0,6,9,5,61.66666665,0,0,6,6,6,65.0,0,13.9,-0.3,0.79,Graduate,63.333333325,61-80,70-100,High,Very Low,High
married,Over 23 years old,1,Management (evening attendance),evening,Basic 3rd cycle (9th-11th),66.55,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Unskilled workers,Skilled industry workers,57.4,0,0,1,1,male,0,50,0,0,5,10,5,59.2857143,0,0,5,17,5,57.49999999999999,5,16.2,0.3,-0.92,Graduate,58.39285715,41-60,50-70,Very High,Low,Medium
single,1st phase - general contingent,1,Nursing,daytime,Secondary,71.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 2nd cycle (6th-8th),Skilled industry workers,Military professions,64.2,1,0,0,1,female,1,18,0,0,7,9,7,66.5,0,0,8,8,8,71.72500000000001,0,15.5,2.8,-4.06,Graduate,69.11250000000001,61-80,50-70,Very High,High,Very Low
single,3rd phase - general contingent,4,Tourism,daytime,Secondary,59.5,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Unskilled workers,Unskilled workers,56.55,1,0,0,0,male,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,0.0,0-20,50-70,Very High,High,Very Low
single,1st phase - general contingent,3,Social Service,daytime,Secondary,68.5,Romanian,Secondary,Secondary,Unskilled workers,Unskilled workers,64.65,0,0,0,1,female,1,21,1,0,6,8,6,69.375,0,0,6,7,6,70.7142857,0,16.2,0.3,-0.92,Graduate,70.04464285,61-80,50-70,Very High,Low,Medium
single,1st phase - general contingent,1,Social Service,daytime,Secondary,69.0,Portuguese,Secondary,Basic 3rd cycle (9th-11th),Admin staff,Skilled industry workers,61.5,1,0,1,0,female,0,18,0,0,6,9,5,57.00000000000001,0,0,6,14,2,67.5,0,8.9,1.4,3.51,Dropout,62.25,61-80,50-70,Very Low,Medium,Very High
single,1st phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary,69.5,Portuguese,Basic 2nd cycle (6th-8th),Basic 3rd cycle (9th-11th),Personal services & sales,Skilled industry workers,65.3,1,0,0,1,female,0,18,0,0,6,6,6,61.66666665,0,0,6,7,5,71.0,0,13.9,-0.3,0.79,Graduate,66.333333325,61-80,50-70,High,Very Low,High
single,1st phase - general contingent,1,Nursing,daytime,Secondary,68.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 2nd cycle (6th-8th),Unskilled workers,Unskilled workers,59.650000000000006,1,0,0,1,female,1,18,0,0,8,8,7,66.07142855,0,0,8,8,7,66.07142855,0,12.7,3.7,-1.7,Graduate,66.07142855,61-80,50-70,Medium,Very High,Low
single,1st phase - general contingent,2,Basic Education,daytime,Secondary,66.5,Portuguese,Basic 3rd cycle (9th-11th),Basic 1st cycle (4th-5th),Admin staff,Unskilled workers,65.1,1,0,0,1,female,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,0.0,0-20,50-70,Medium,Very High,Low
single,Short cycle diploma holders,1,Tourism,daytime,Professional higher technical course,55.00000000000001,Portuguese,Secondary,Secondary,Admin staff,Skilled industry workers,55.89999999999999,1,0,0,1,female,1,21,0,0,6,7,6,52.85714285,0,0,6,8,5,55.00000000000001,0,8.9,1.4,3.51,Graduate,53.928571425,41-60,50-70,Very Low,Medium,Very High
single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary,74.5,Portuguese,Basic 2nd cycle (6th-8th),Basic 1st cycle (4th-5th),Personal services & sales,Personal services & sales,68.55,1,0,0,1,female,1,18,0,0,5,7,4,66.25,0,0,5,5,5,60.0,0,10.8,1.4,1.74,Graduate,63.125,61-80,50-70,Low,Medium,High
