marital_status,application_mode,application_order,course,course_time,education_level,previous_grade,nationality,mother_education,father_education,mother_occupation,father_occupation,admission_grade,is_displaced,has_special_needs,is_debtor,is_tuition_paid,gender,is_scholarship_holder,age_at_enrollment,is_international,s1_credited,s1_enrolled,s1_evaluated,s1_approved,s1_grade,s1_not_evaluated,s2_credited,s2_enrolled,s2_evaluated,s2_approved,s2_grade,s2_not_evaluated,unemployment_rate,inflation_rate,gdp
single,3rd phase - general contingent,1,Social Service,daytime,Secondary,68.5,Portuguese,Basic 3rd cycle (9th-11th),Basic 2nd cycle (6th-8th),Personal services & sales,Machine operators,68.7,1,0,0,1,female,0,18,0,0,6,10,1,60.0,0,0,6,14,2,55.00000000000001,0,10.8,1.4,1.74
single,1st phase - general contingent,1,Basic Education,daytime,Secondary,70.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 3rd cycle (9th-11th),Skilled industry workers,Skilled industry workers,62.3,1,0,0,1,female,0,18,0,0,7,7,6,58.33333335,0,0,7,8,6,67.5,0,16.2,0.3,-0.92
single,3rd phase - general contingent,4,Oral Hygiene,daytime,Secondary,63.5,Portuguese,Secondary,Basic 2nd cycle (6th-8th),Admin staff,Skilled industry workers,60.9,1,0,0,1,female,0,20,0,0,7,14,7,57.1875,0,0,8,9,8,57.125,0,12.7,3.7,-1.7
single,1st phase - general contingent,1,Social Service,daytime,Secondary,75.5,Portuguese,Basic 3rd cycle (9th-11th),Basic 2nd cycle (6th-8th),Unskilled workers,Unskilled workers,78.5,1,0,1,1,female,1,18,0,0,6,8,5,57.99999999999999,0,0,6,12,4,55.00000000000001,0,7.6,2.6,0.32
single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary,69.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 3rd cycle (9th-11th),Technicians & associate professionals,Technicians & associate professionals,65.5,1,0,0,1,female,0,18,0,0,5,9,5,63.33333335,2,0,5,7,4,65.0,0,9.4,-0.8,-3.12
single,2nd phase - general contingent,2,Nursing,daytime,Secondary,63.5,Portuguese,Higher education (diploma),Higher education (diploma),Govt & executive leaders,Military professions,59.4,1,0,0,1,male,0,19,0,0,7,9,6,64.66666665000001,0,0,7,7,6,68.58333335,0,16.2,0.3,-0.92
single,Technological specialization diploma holders,1,Agronomy,daytime,Technological specialization,75.0,Portuguese,Masters degree,Doctorate degree,Admin staff,"Specialists (science, law, etc.)",75.0,0,0,0,1,male,0,21,0,0,6,15,5,59.2857143,0,0,6,17,5,52.85714285,0,16.2,0.3,-0.92
single,1st phase - general contingent,1,Management,daytime,Secondary,71.5,Portuguese,Secondary,Secondary,Admin staff,Farmers & agriculture,69.4,0,0,0,0,male,0,18,0,0,5,9,3,56.666666649999996,0,0,5,8,2,67.5,0,8.9,1.4,3.51
single,2nd phase - general contingent,1,Management (evening attendance),evening,Secondary,77.0,Portuguese,Basic 2nd cycle (6th-8th),Basic 2nd cycle (6th-8th),Admin staff,Personal services & sales,67.05,0,0,0,1,female,0,24,0,0,5,9,2,57.49999999999999,0,0,5,11,3,71.66666665,1,7.6,2.6,0.32
single,1st phase - general contingent,1,Nursing,daytime,Secondary,69.5,Portuguese,Basic 1st cycle (4th-5th),Basic 2nd cycle (6th-8th),Farmers & agriculture,Farmers & agriculture,60.650000000000006,1,0,0,1,female,1,19,0,0,8,10,6,59.166666649999996,0,0,8,10,6,59.166666649999996,0,9.4,-0.8,-3.12
